"Session_ID","Round","Algorithm_Used","Arm","Device_Type","Time_of_Day","Reward","True_CTR","Cumulative_Reward","Regret","Cumulative_Regret"
25,25,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,2,0.04,0.9
26,26,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,2,0.02,0.92
27,27,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,2,0.02,0.94
28,28,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,2,0.02,0.96
29,29,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,2,0,0.96
30,30,"Random (Pure Exploration)","Ad_C","Desktop","Morning",0,0.12,2,0,0.96
31,31,"Random (Pure Exploration)","Ad_A","Desktop","Evening",1,0.05,3,0.07,1.03
32,32,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,3,0.04,1.07
33,33,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,3,0.04,1.11
34,34,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,3,0.02,1.13
35,35,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,3,0.04,1.17
36,36,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,3,0.04,1.21
37,37,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,3,0.04,1.25
38,38,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,3,0.04,1.29
39,39,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,3,0.07,1.36
40,40,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,3,0.07,1.43
41,41,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,3,0.02,1.45
42,42,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,3,0.04,1.49
43,43,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,3,0.07,1.56
44,44,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,3,0.02,1.58
45,45,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,3,0,1.58
46,46,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,3,0.07,1.65
47,47,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,3,0.07,1.72
48,48,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,3,0.02,1.74
49,49,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,3,0.07,1.81
50,50,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,3,0.04,1.85
51,51,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,3,0.04,1.89
52,52,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,3,0.07,1.96
53,53,"Random (Pure Exploration)","Ad_A","Mobile","Morning",1,0.05,4,0.07,2.03
54,54,"Random (Pure Exploration)","Ad_D","Mobile","Evening",0,0.1,4,0.02,2.05
55,55,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,4,0.02,2.07
56,56,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,4,0.02,2.09
57,57,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,4,0.02,2.11
58,58,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,4,0.04,2.15
59,59,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,4,0,2.15
60,60,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,4,0.07,2.22
61,61,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,4,0,2.22
62,62,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,4,0.02,2.24
63,63,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",0,0.1,4,0.02,2.26
64,64,"Random (Pure Exploration)","Ad_A","Tablet","Morning",1,0.05,5,0.07,2.33
65,65,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,5,0.07,2.4
66,66,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,5,0.07,2.47
67,67,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",1,0.12,6,0,2.47
68,68,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,6,0.04,2.51
69,69,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,6,0.02,2.53
70,70,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,6,0,2.53
71,71,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,6,0.07,2.6
72,72,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,6,0.04,2.64
73,73,"Random (Pure Exploration)","Ad_A","Tablet","Afternoon",0,0.05,6,0.07,2.71
74,74,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",1,0.1,7,0.02,2.73
75,75,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,7,0,2.73
76,76,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,7,0.04,2.77
77,77,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,7,0.07,2.84
78,78,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,7,0.07,2.91
79,79,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,7,0.07,2.98
80,80,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,7,0,2.98
81,81,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,7,0.07,3.05
82,82,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,7,0.04,3.09
83,83,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,7,0.04,3.13
84,84,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,7,0,3.13
85,85,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,7,0.04,3.17
86,86,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,7,0.02,3.19
87,87,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,7,0.02,3.21
88,88,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,7,0.07,3.28
89,89,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,7,0,3.28
90,90,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,7,0.04,3.32
91,91,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,7,0.04,3.36
92,92,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,7,0.04,3.4
93,93,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,7,0.04,3.44
94,94,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,7,0.02,3.46
95,95,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,7,0.04,3.5
96,96,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,7,0,3.5
97,97,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,7,0.04,3.54
98,98,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,7,0.02,3.56
99,99,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,7,0.07,3.63
100,100,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,7,0.04,3.67
101,101,"Random (Pure Exploration)","Ad_D","Mobile","Evening",0,0.1,7,0.02,3.69
102,102,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,7,0.07,3.76
103,103,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,7,0,3.76
104,104,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,7,0.04,3.8
105,105,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,7,0.04,3.84
106,106,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,7,0.04,3.88
107,107,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,7,0.02,3.9
108,108,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,7,0.04,3.94
109,109,"Random (Pure Exploration)","Ad_D","Tablet","Evening",0,0.1,7,0.02,3.96
110,110,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,7,0.07,4.03
111,111,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,7,0.07,4.1
112,112,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",1,0.05,8,0.07,4.17
113,113,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,8,0.04,4.21
114,114,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,8,0.02,4.23
115,115,"Random (Pure Exploration)","Ad_A","Mobile","Evening",0,0.05,8,0.07,4.3
116,116,"Random (Pure Exploration)","Ad_C","Desktop","Evening",0,0.12,8,0,4.3
117,117,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,8,0.04,4.34
118,118,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,8,0,4.34
119,119,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,8,0,4.34
120,120,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,8,0.04,4.38
121,121,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,8,0.07,4.45
122,122,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,8,0,4.45
123,123,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,8,0.02,4.47
124,124,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,8,0.02,4.49
125,125,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,8,0.07,4.56
126,126,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,8,0.07,4.63
127,127,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,8,0.07,4.7
128,128,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,8,0.04,4.74
129,129,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,8,0,4.74
130,130,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,8,0.07,4.81
131,131,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,8,0.07,4.88
132,132,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,8,0.07,4.95
133,133,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,8,0.04,4.99
134,134,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,8,0.02,5.01
135,135,"Random (Pure Exploration)","Ad_D","Tablet","Evening",0,0.1,8,0.02,5.03
136,136,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,8,0.07,5.1
137,137,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,8,0.02,5.12
138,138,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,8,0.04,5.16
139,139,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,8,0.02,5.18
140,140,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,8,0.07,5.25
141,141,"Random (Pure Exploration)","Ad_D","Tablet","Evening",0,0.1,8,0.02,5.27
142,142,"Random (Pure Exploration)","Ad_C","Tablet","Evening",1,0.12,9,0,5.27
143,143,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,9,0.04,5.31
144,144,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,9,0,5.31
145,145,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,9,0.07,5.38
146,146,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,9,0,5.38
147,147,"Random (Pure Exploration)","Ad_A","Tablet","Afternoon",0,0.05,9,0.07,5.45
148,148,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,9,0.02,5.47
149,149,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,9,0,5.47
150,150,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,9,0.07,5.54
151,151,"Random (Pure Exploration)","Ad_A","Mobile","Evening",0,0.05,9,0.07,5.61
152,152,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,9,0.04,5.65
153,153,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,9,0.07,5.72
154,154,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,9,0.04,5.76
155,155,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,9,0.07,5.83
156,156,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",1,0.08,10,0.04,5.87
157,157,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,10,0.04,5.91
158,158,"Random (Pure Exploration)","Ad_C","Desktop","Morning",1,0.12,11,0,5.91
159,159,"Random (Pure Exploration)","Ad_C","Desktop","Evening",0,0.12,11,0,5.91
160,160,"Random (Pure Exploration)","Ad_A","Desktop","Morning",1,0.05,12,0.07,5.98
161,161,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,12,0,5.98
162,162,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,12,0.07,6.05
163,163,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,12,0.07,6.12
164,164,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,12,0.07,6.19
165,165,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",0,0.1,12,0.02,6.21
166,166,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,12,0,6.21
167,167,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,12,0.04,6.25
168,168,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,12,0.04,6.29
169,169,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,12,0.04,6.33
170,170,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,12,0.02,6.35
171,171,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,12,0.07,6.42
172,172,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,12,0.07,6.49
173,173,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,12,0.04,6.53
174,174,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,12,0.04,6.57
175,175,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,12,0.04,6.61
176,176,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,12,0.07,6.68
177,177,"Random (Pure Exploration)","Ad_D","Tablet","Evening",0,0.1,12,0.02,6.7
178,178,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,12,0.04,6.74
179,179,"Random (Pure Exploration)","Ad_C","Desktop","Evening",1,0.12,13,0,6.74
180,180,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,13,0.04,6.78
181,181,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,13,0.07,6.85
182,182,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",1,0.12,14,0,6.85
183,183,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,14,0.07,6.92
184,184,"Random (Pure Exploration)","Ad_B","Mobile","Morning",1,0.08,15,0.04,6.96
185,185,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,15,0.07,7.03
186,186,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,15,0,7.03
187,187,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,15,0.04,7.07
188,188,"Random (Pure Exploration)","Ad_A","Desktop","Morning",1,0.05,16,0.07,7.14
189,189,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,16,0.07,7.21
190,190,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,16,0,7.21
191,191,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,16,0.04,7.25
192,192,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,16,0.04,7.29
193,193,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,16,0,7.29
194,194,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",1,0.1,17,0.02,7.31
195,195,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,17,0,7.31
196,196,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,17,0.07,7.38
197,197,"Random (Pure Exploration)","Ad_A","Tablet","Afternoon",0,0.05,17,0.07,7.45
198,198,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,17,0,7.45
199,199,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",1,0.12,18,0,7.45
200,200,"Random (Pure Exploration)","Ad_C","Desktop","Morning",0,0.12,18,0,7.45
201,201,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,18,0.02,7.47
202,202,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,18,0.02,7.49
203,203,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",0,0.1,18,0.02,7.51
204,204,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,18,0.02,7.53
205,205,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",0,0.1,18,0.02,7.55
206,206,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,18,0.04,7.59
207,207,"Random (Pure Exploration)","Ad_C","Desktop","Evening",0,0.12,18,0,7.59
208,208,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,18,0.02,7.61
209,209,"Random (Pure Exploration)","Ad_A","Tablet","Afternoon",0,0.05,18,0.07,7.68
210,210,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,18,0.07,7.75
211,211,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,18,0.04,7.79
212,212,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,18,0.02,7.81
213,213,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,18,0.07,7.88
214,214,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,18,0.02,7.9
215,215,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,18,0,7.9
216,216,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,18,0.04,7.94
217,217,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,18,0.07,8.01
218,218,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,18,0.04,8.05
219,219,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,18,0.04,8.09
220,220,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,18,0,8.09
221,221,"Random (Pure Exploration)","Ad_C","Desktop","Evening",1,0.12,19,0,8.09
222,222,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,19,0.02,8.11
223,223,"Random (Pure Exploration)","Ad_A","Mobile","Evening",0,0.05,19,0.07,8.18
224,224,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,19,0.04,8.22
225,225,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,19,0,8.22
226,226,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,19,0.04,8.26
227,227,"Random (Pure Exploration)","Ad_D","Desktop","Evening",0,0.1,19,0.02,8.28
228,228,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,19,0.07,8.35
229,229,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,19,0,8.35
230,230,"Random (Pure Exploration)","Ad_C","Desktop","Evening",0,0.12,19,0,8.35
231,231,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,19,0.04,8.39
232,232,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,19,0.02,8.41
233,233,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,19,0.04,8.45
234,234,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,19,0.07,8.52
235,235,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,19,0,8.52
236,236,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,19,0.07,8.59
237,237,"Random (Pure Exploration)","Ad_B","Desktop","Morning",1,0.08,20,0.04,8.63
238,238,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,20,0.07,8.7
239,239,"Random (Pure Exploration)","Ad_C","Desktop","Evening",1,0.12,21,0,8.7
240,240,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,21,0.04,8.73999999999999
241,241,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,21,0.04,8.77999999999999
242,242,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,21,0.02,8.79999999999999
243,243,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,21,0.04,8.83999999999999
244,244,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,21,0,8.83999999999999
245,245,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,21,0.04,8.87999999999999
246,246,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,21,0.04,8.91999999999999
247,247,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,21,0.02,8.93999999999999
248,248,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,21,0.04,8.97999999999999
249,249,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,21,0.07,9.04999999999999
250,250,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,21,0.04,9.08999999999999
251,251,"Random (Pure Exploration)","Ad_C","Mobile","Afternoon",0,0.12,21,0,9.08999999999999
252,252,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,21,0.04,9.12999999999999
253,253,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,21,0.07,9.19999999999999
254,254,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,21,0,9.19999999999999
255,255,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,21,0,9.19999999999999
256,256,"Random (Pure Exploration)","Ad_B","Tablet","Afternoon",0,0.08,21,0.04,9.23999999999999
257,257,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,21,0.04,9.27999999999999
258,258,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,21,0.07,9.34999999999999
259,259,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,21,0.04,9.38999999999999
260,260,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",0,0.1,21,0.02,9.40999999999999
261,261,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,21,0.07,9.47999999999999
262,262,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,21,0.07,9.54999999999999
263,263,"Random (Pure Exploration)","Ad_C","Desktop","Morning",0,0.12,21,0,9.54999999999999
264,264,"Random (Pure Exploration)","Ad_A","Mobile","Afternoon",0,0.05,21,0.07,9.61999999999999
265,265,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,21,0.07,9.68999999999999
266,266,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,21,0.07,9.75999999999999
267,267,"Random (Pure Exploration)","Ad_B","Mobile","Evening",0,0.08,21,0.04,9.79999999999999
268,268,"Random (Pure Exploration)","Ad_B","Tablet","Morning",0,0.08,21,0.04,9.83999999999999
269,269,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,21,0.02,9.85999999999999
270,270,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,21,0.07,9.92999999999999
271,271,"Random (Pure Exploration)","Ad_A","Mobile","Morning",1,0.05,22,0.07,9.99999999999999
272,272,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,22,0.04,10.04
273,273,"Random (Pure Exploration)","Ad_C","Desktop","Evening",0,0.12,22,0,10.04
274,274,"Random (Pure Exploration)","Ad_C","Tablet","Afternoon",0,0.12,22,0,10.04
275,275,"Random (Pure Exploration)","Ad_B","Mobile","Morning",0,0.08,22,0.04,10.08
276,276,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,22,0.02,10.1
277,277,"Random (Pure Exploration)","Ad_D","Desktop","Morning",0,0.1,22,0.02,10.12
278,278,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,22,0.07,10.19
279,279,"Random (Pure Exploration)","Ad_A","Tablet","Evening",0,0.05,22,0.07,10.26
280,280,"Random (Pure Exploration)","Ad_D","Tablet","Morning",0,0.1,22,0.02,10.28
281,281,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,22,0.07,10.35
282,282,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,22,0,10.35
283,283,"Random (Pure Exploration)","Ad_B","Desktop","Afternoon",0,0.08,22,0.04,10.39
284,284,"Random (Pure Exploration)","Ad_B","Tablet","Evening",0,0.08,22,0.04,10.43
