Network_Latency,Buffer_Occupancy,Packet_Loss_Rate,CPU_Utilization,Bandwidth_Demand,Jitter_Queue_Delay,Quality_Score_QoS,Load_Tier
88.6,10.19,1.32,31.39,96.34,39.4,27.76,Normal
50.91,88.58,4.26,66.43,99.54,39.67,54.24,High_Load
82.07,67.28,3.57,26.21,62.66,10.32,96.37,Low_Load
86.04,94.56,4.46,39.72,59.38,27.42,30.42,Normal
75.1,50.76,4.09,45.21,33.43,29.76,91.59,Normal
67.1,23.53,1.89,48.98,20.7,28.19,46.78,Normal
28.7,90.94,2.02,92.62,82.74,22.7,50.95,Overload
27.9,24.12,2.84,19.19,71.83,20.11,48.29,Low_Load
96.51,41.39,1.53,82.15,28.16,17.9,88.95,Overload
38.39,89.44,0.24,66.9,90.09,23.38,41.72,High_Load
80.44,16.94,0.82,82.98,56.71,28.25,56.04,Overload
39.46,48.59,2.55,36.77,27.56,31.0,76.56,Normal
21.62,85.42,2.46,16.49,55.06,26.35,22.08,Low_Load
51.46,37.15,4.38,21.6,20.48,8.2,56.17,Low_Load
40.68,91.83,2.44,21.67,64.07,33.86,68.71,Low_Load
32.99,94.78,3.04,29.05,83.64,13.48,24.71,Low_Load
72.63,51.31,1.29,29.43,31.67,11.89,87.19,Low_Load
33.21,37.31,1.83,72.57,60.24,12.05,43.67,High_Load
90.99,92.74,0.41,70.61,25.51,20.66,93.44,High_Load
87.82,94.89,2.05,17.63,81.34,28.49,49.04,Low_Load
84.95,47.84,0.97,61.8,36.79,30.83,73.99,High_Load
16.82,13.8,0.38,92.2,97.28,28.62,80.4,Overload
113.52,48.0,3.59,62.58,61.34,2.78,76.89,High_Load
62.88,70.36,0.72,50.71,45.68,14.9,31.7,Normal
108.46,63.22,4.03,27.44,61.77,28.39,50.95,Low_Load
27.84,67.01,0.9,67.87,11.27,22.76,92.85,High_Load
73.36,92.61,3.67,47.13,81.82,37.86,43.38,Normal
116.02,66.27,3.96,39.96,65.06,26.93,98.71,Normal
119.85,17.77,0.14,24.63,91.95,37.12,84.04,Low_Load
7.78,60.13,2.82,40.05,95.37,11.8,91.4,Normal
60.35,27.98,3.66,29.09,82.98,31.08,57.47,Low_Load
38.51,77.58,4.18,43.72,17.16,6.3,81.79,Normal
12.33,39.78,2.67,30.71,98.23,27.97,33.63,Low_Load
70.51,52.71,3.55,70.17,76.71,25.64,37.82,High_Load
5.58,69.8,2.32,83.44,75.37,27.02,90.79,Overload
75.3,24.59,2.65,77.89,44.45,33.74,72.04,Overload
105.07,61.09,1.14,49.82,16.8,20.3,79.35,Normal
106.61,23.6,1.98,35.22,52.87,27.79,98.93,Normal
114.75,80.26,2.96,62.24,15.05,12.09,88.68,High_Load
90.08,38.28,1.34,89.55,61.87,19.71,54.2,Overload
26.24,56.47,2.03,76.53,80.42,35.68,54.63,Overload
54.99,80.61,4.26,72.51,53.26,27.9,71.42,High_Load
106.88,92.37,0.57,46.1,55.64,4.76,78.27,Normal
34.33,37.84,1.86,29.64,36.63,4.95,68.71,Low_Load
55.98,17.51,3.6,29.17,11.17,19.22,36.39,Low_Load
75.95,91.9,0.55,97.44,52.64,34.6,49.33,Overload
