"Episode","Step","State","Demand","Action","Next_State","Reward","Penalty","Done","Existing_Policy"
5,12,65,30,0,35,182.5,17.5,FALSE,"Order Low"
5,13,49,40,30,39,140.5,59.5,FALSE,"Order High"
5,14,54,12,10,52,134,66,FALSE,"Order Low"
5,15,33,19,40,54,133,67,FALSE,"Order High"
5,16,48,40,20,28,146,54,FALSE,"Order Medium"
5,17,51,7,40,84,118,82,FALSE,"Order Medium"
5,18,26,37,40,29,79.5,120.5,FALSE,"Order Medium"
5,19,22,30,30,22,101,99,FALSE,"Order High"
5,20,42,32,20,30,145,55,FALSE,"Order Low"
5,21,73,30,20,63,128.5,71.5,FALSE,"Order Low"
5,22,77,21,10,66,127,73,FALSE,"Order Low"
5,23,34,27,30,37,141.5,58.5,FALSE,"Order Medium"
5,24,40,14,40,66,127,73,FALSE,"Order Low"
5,25,56,12,10,54,133,67,TRUE,"Order Medium"
6,1,27,5,10,32,144,56,FALSE,"Order Medium"
6,2,70,20,20,70,125,75,FALSE,"Order Medium"
6,3,29,6,20,43,138.5,61.5,FALSE,"Order High"
6,4,69,18,40,91,114.5,85.5,FALSE,"Order Low"
6,5,61,16,0,45,177.5,22.5,FALSE,"Order Medium"
6,6,63,30,40,73,123.5,76.5,FALSE,"Order High"
6,7,53,12,10,51,134.5,65.5,FALSE,"Order Low"
6,8,29,12,20,37,141.5,58.5,FALSE,"Order High"
6,9,41,13,20,48,136,64,FALSE,"Order Low"
6,10,31,37,30,24,112,88,FALSE,"Order High"
6,11,39,7,40,72,124,76,FALSE,"Order Medium"
6,12,65,6,0,59,170.5,29.5,FALSE,"Order Low"
6,13,36,5,40,71,124.5,75.5,FALSE,"Order Medium"
6,14,65,13,10,62,129,71,FALSE,"Order Medium"
6,15,73,11,10,72,124,76,FALSE,"Order Low"
6,16,54,17,0,37,181.5,18.5,FALSE,"Order Medium"
6,17,59,33,40,66,127,73,FALSE,"Order Low"
6,18,65,24,40,81,119.5,80.5,FALSE,"Order Medium"
6,19,70,18,20,72,124,76,FALSE,"Order High"
6,20,49,20,40,69,125.5,74.5,FALSE,"Order Medium"
6,21,34,11,20,43,138.5,61.5,FALSE,"Order High"
6,22,43,40,0,3,198.5,1.5,FALSE,"Order High"
6,23,68,16,30,82,119,81,FALSE,"Order Medium"
6,24,42,29,10,23,148.5,51.5,FALSE,"Order Medium"
6,25,62,31,30,61,129.5,70.5,TRUE,"Order Medium"
7,1,26,17,30,39,140.5,59.5,FALSE,"Order Low"
7,2,48,24,40,64,128,72,FALSE,"Order High"
7,3,34,14,0,20,190,10,FALSE,"Order Low"
7,4,42,34,30,38,141,59,FALSE,"Order High"
7,5,45,16,10,39,140.5,59.5,FALSE,"Order Medium"
7,6,57,12,30,75,122.5,77.5,FALSE,"Order Medium"
7,7,65,11,30,84,118,82,FALSE,"Order Medium"
7,8,51,19,20,52,134,66,FALSE,"Order Medium"
7,9,26,23,20,23,148.5,51.5,FALSE,"Order High"
7,10,46,27,0,19,190.5,9.5,FALSE,"Order Medium"
7,11,61,39,10,32,144,56,FALSE,"Order High"
7,12,24,10,10,24,148,52,FALSE,"Order High"
7,13,25,11,30,44,138,62,FALSE,"Order High"
7,14,35,8,10,37,141.5,58.5,FALSE,"Order Low"
7,15,43,14,20,49,135.5,64.5,FALSE,"Order Low"
7,16,51,21,30,60,130,70,FALSE,"Order Medium"
7,17,40,12,20,48,136,64,FALSE,"Order Medium"
7,18,74,7,0,67,166.5,33.5,FALSE,"Order Low"
7,19,30,18,30,42,139,61,FALSE,"Order Low"
7,20,55,32,30,53,133.5,66.5,FALSE,"Order High"
7,21,63,10,40,93,113.5,86.5,FALSE,"Order High"
7,22,65,13,0,52,174,26,FALSE,"Order Low"
7,23,79,37,20,62,129,71,FALSE,"Order Medium"
7,24,80,23,10,67,126.5,73.5,FALSE,"Order Low"
7,25,38,38,10,10,155,45,TRUE,"Order Low"
8,1,44,5,30,69,125.5,74.5,FALSE,"Order Medium"
8,2,58,32,30,56,132,68,FALSE,"Order Medium"
8,3,73,34,10,49,135.5,64.5,FALSE,"Order Medium"
8,4,45,8,40,77,121.5,78.5,FALSE,"Order Low"
8,5,28,30,40,38,129,71,FALSE,"Order Medium"
8,6,26,15,0,11,194.5,5.5,FALSE,"Order Medium"
8,7,53,9,0,44,178,22,FALSE,"Order Low"
8,8,67,40,40,67,126.5,73.5,FALSE,"Order High"
8,9,32,23,20,29,145.5,54.5,FALSE,"Order Medium"
8,10,38,39,0,0,194,6,FALSE,"Order Low"
8,11,75,37,20,58,131,69,FALSE,"Order Medium"
8,12,71,9,20,82,119,81,FALSE,"Order High"
8,13,66,27,20,59,130.5,69.5,FALSE,"Order Low"
8,14,58,29,30,59,130.5,69.5,FALSE,"Order Medium"
8,15,23,25,0,0,188,12,FALSE,"Order High"
8,16,20,9,40,51,134.5,65.5,FALSE,"Order Medium"
8,17,59,16,20,63,128.5,71.5,FALSE,"Order Medium"
8,18,49,6,40,83,118.5,81.5,FALSE,"Order High"
8,19,49,22,30,57,131.5,68.5,FALSE,"Order Low"
8,20,71,8,0,63,168.5,31.5,FALSE,"Order Medium"
8,21,44,27,40,57,131.5,68.5,FALSE,"Order Low"
8,22,35,12,30,53,133.5,66.5,FALSE,"Order High"
8,23,43,5,0,38,181,19,FALSE,"Order Low"
8,24,73,15,30,88,116,84,FALSE,"Order High"
8,25,30,15,0,15,192.5,7.5,TRUE,"Order Low"
9,1,67,19,0,48,176,24,FALSE,"Order Low"
9,2,39,19,30,50,135,65,FALSE,"Order Medium"
9,3,59,19,20,60,130,70,FALSE,"Order High"
9,4,22,19,0,3,198.5,1.5,FALSE,"Order High"
9,5,48,29,10,29,145.5,54.5,FALSE,"Order High"
9,6,55,40,40,55,132.5,67.5,FALSE,"Order High"
9,7,71,7,0,64,168,32,FALSE,"Order High"
9,8,63,11,30,82,119,81,FALSE,"Order Medium"
9,9,41,8,10,43,138.5,61.5,FALSE,"Order High"
9,10,68,28,10,50,135,65,FALSE,"Order High"
9,11,61,8,10,63,128.5,71.5,FALSE,"Order Medium"
9,12,78,7,20,91,114.5,85.5,FALSE,"Order High"
9,13,39,15,10,34,143,57,FALSE,"Order Medium"
9,14,30,14,40,56,132,68,FALSE,"Order High"
9,15,76,33,0,43,178.5,21.5,FALSE,"Order High"
9,16,74,27,0,47,176.5,23.5,FALSE,"Order Medium"
9,17,27,9,10,28,146,54,FALSE,"Order Medium"
9,18,65,28,20,57,131.5,68.5,FALSE,"Order High"
9,19,40,36,30,34,143,57,FALSE,"Order Low"
9,20,64,29,10,45,137.5,62.5,FALSE,"Order Low"
9,21,21,15,30,36,142,58,FALSE,"Order Low"
9,22,62,14,30,78,121,79,FALSE,"Order High"
9,23,32,19,0,13,193.5,6.5,FALSE,"Order High"
9,24,65,35,20,50,135,65,FALSE,"Order High"
9,25,25,14,20,31,144.5,55.5,TRUE,"Order Low"
10,1,76,28,30,78,121,79,FALSE,"Order Low"
10,2,27,39,10,0,88,112,FALSE,"Order High"
10,3,63,14,10,59,130.5,69.5,FALSE,"Order High"
10,4,51,12,0,39,180.5,19.5,FALSE,"Order High"
10,5,77,36,10,51,134.5,65.5,FALSE,"Order Low"
10,6,55,11,0,44,178,22,FALSE,"Order Low"
10,7,64,21,20,63,128.5,71.5,FALSE,"Order Low"
10,8,80,24,10,66,127,73,FALSE,"Order Low"
10,9,33,37,20,16,128,72,FALSE,"Order Low"
10,10,72,14,0,58,171,29,FALSE,"Order High"
10,11,35,14,0,21,189.5,10.5,FALSE,"Order Medium"
10,12,42,6,0,36,182,18,FALSE,"Order High"
10,13,80,19,40,101,109.5,90.5,FALSE,"Order High"
10,14,52,27,0,25,187.5,12.5,FALSE,"Order High"
10,15,59,39,0,20,190,10,FALSE,"Order High"
10,16,59,6,30,83,118.5,81.5,FALSE,"Order Low"
10,17,29,10,20,39,140.5,59.5,FALSE,"Order Medium"
10,18,44,13,10,41,139.5,60.5,FALSE,"Order Medium"
10,19,27,27,10,10,155,45,FALSE,"Order High"
10,20,37,29,30,38,141,59,FALSE,"Order High"
10,21,80,19,0,61,169.5,30.5,FALSE,"Order Medium"
10,22,72,26,0,46,177,23,FALSE,"Order Low"
10,23,28,12,30,46,137,63,FALSE,"Order Low"
10,24,26,33,0,0,158,42,FALSE,"Order Low"
10,25,26,25,0,1,199.5,0.5,TRUE,"Order High"
11,1,77,13,40,104,108,92,FALSE,"Order Low"
11,2,80,38,0,42,179,21,FALSE,"Order Medium"
11,3,79,15,10,74,123,77,FALSE,"Order Medium"
11,4,29,8,20,41,139.5,60.5,FALSE,"Order Medium"
11,5,43,11,40,72,124,76,FALSE,"Order Low"
11,6,73,15,20,78,121,79,FALSE,"Order Medium"
11,7,42,37,0,5,197.5,2.5,FALSE,"Order High"
11,8,45,15,10,40,140,60,FALSE,"Order High"
11,9,62,25,40,77,121.5,78.5,FALSE,"Order Low"
11,10,52,14,20,58,131,69,FALSE,"Order High"
11,11,76,7,0,69,165.5,34.5,FALSE,"Order High"
11,12,80,39,10,51,134.5,65.5,FALSE,"Order High"
11,13,48,38,10,20,150,50,FALSE,"Order Low"
11,14,70,32,30,68,126,74,FALSE,"Order Medium"
11,15,29,17,30,42,139,61,FALSE,"Order Medium"
11,16,72,12,20,80,120,80,FALSE,"Order Medium"
11,17,73,6,30,97,111.5,88.5,FALSE,"Order Medium"
11,18,32,10,20,42,139,61,FALSE,"Order Low"
11,19,62,27,30,65,127.5,72.5,FALSE,"Order Medium"
11,20,30,21,40,49,135.5,64.5,FALSE,"Order Low"
11,21,44,36,10,18,151,49,FALSE,"Order Medium"
11,22,71,18,40,93,113.5,86.5,FALSE,"Order Low"
11,23,45,11,40,74,123,77,FALSE,"Order Medium"
11,24,26,17,40,49,135.5,64.5,FALSE,"Order Low"
11,25,44,12,20,52,134,66,TRUE,"Order High"
12,1,42,15,20,47,136.5,63.5,FALSE,"Order Medium"
12,2,45,21,30,54,133,67,FALSE,"Order Low"
12,3,51,11,20,60,130,70,FALSE,"Order Low"
12,4,39,23,40,56,132,68,FALSE,"Order Low"
12,5,80,19,0,61,169.5,30.5,FALSE,"Order Medium"
12,6,43,18,20,45,137.5,62.5,FALSE,"Order Low"
12,7,76,30,0,46,177,23,FALSE,"Order Low"
12,8,28,31,0,0,182,18,FALSE,"Order High"
12,9,60,21,0,39,180.5,19.5,FALSE,"Order Medium"
12,10,56,37,30,49,135.5,64.5,FALSE,"Order High"
12,11,42,22,20,40,140,60,FALSE,"Order High"
12,12,33,24,30,39,140.5,59.5,FALSE,"Order High"
12,13,65,31,10,44,138,62,FALSE,"Order Medium"
12,14,25,14,10,21,149.5,50.5,FALSE,"Order Low"
12,15,46,13,30,63,128.5,71.5,FALSE,"Order High"
12,16,20,35,10,0,70,130,FALSE,"Order Medium"
12,17,45,23,10,32,144,56,FALSE,"Order Low"
12,18,61,22,20,59,130.5,69.5,FALSE,"Order High"
12,19,68,32,10,46,137,63,FALSE,"Order Medium"
12,20,77,25,30,82,119,81,FALSE,"Order High"
12,21,36,33,20,23,148.5,51.5,FALSE,"Order High"
12,22,48,40,10,18,151,49,FALSE,"Order High"
12,23,45,24,0,21,189.5,10.5,FALSE,"Order High"
12,24,46,27,0,19,190.5,9.5,FALSE,"Order Medium"
12,25,40,9,40,71,124.5,75.5,TRUE,"Order High"
13,1,26,6,10,30,145,55,FALSE,"Order High"
13,2,79,22,10,67,126.5,73.5,FALSE,"Order High"
13,3,72,16,0,56,172,28,FALSE,"Order Medium"
13,4,45,17,20,48,136,64,FALSE,"Order Low"
13,5,60,22,30,68,126,74,FALSE,"Order Low"
13,6,39,14,10,35,142.5,57.5,FALSE,"Order Medium"
13,7,25,13,10,22,149,51,FALSE,"Order Medium"
13,8,69,39,40,70,125,75,FALSE,"Order High"
13,9,49,33,10,26,147,53,FALSE,"Order Low"
13,10,50,26,20,44,138,62,FALSE,"Order Low"
13,11,48,23,40,65,127.5,72.5,FALSE,"Order Low"
13,12,36,12,20,44,138,62,FALSE,"Order Low"
13,13,56,37,20,39,140.5,59.5,FALSE,"Order Low"
13,14,76,6,10,80,120,80,FALSE,"Order High"
13,15,39,9,20,50,135,65,FALSE,"Order Medium"
13,16,54,25,20,49,135.5,64.5,FALSE,"Order High"
13,17,44,35,0,9,195.5,4.5,FALSE,"Order Medium"
13,18,65,40,0,25,187.5,12.5,FALSE,"Order Low"
13,19,52,31,40,61,129.5,70.5,FALSE,"Order Low"
13,20,21,27,20,14,117,83,FALSE,"Order Medium"
13,21,23,7,10,26,147,53,FALSE,"Order Low"
13,22,29,19,30,40,140,60,FALSE,"Order Low"
13,23,52,11,40,81,119.5,80.5,FALSE,"Order High"
13,24,24,38,0,0,116,84,FALSE,"Order Medium"
13,25,72,35,40,77,121.5,78.5,TRUE,"Order Low"
14,1,44,22,20,42,139,61,FALSE,"Order Medium"
14,2,27,22,40,45,137.5,62.5,FALSE,"Order Medium"
14,3,74,39,10,45,137.5,62.5,FALSE,"Order Medium"
14,4,44,13,0,31,184.5,15.5,FALSE,"Order Low"
14,5,40,19,40,61,129.5,70.5,FALSE,"Order Medium"
14,6,64,21,30,73,123.5,76.5,FALSE,"Order Low"
14,7,37,11,10,36,142,58,FALSE,"Order High"
14,8,61,34,20,47,136.5,63.5,FALSE,"Order High"
14,9,50,12,20,58,131,69,FALSE,"Order Low"
14,10,25,5,30,50,135,65,FALSE,"Order Medium"
14,11,26,13,10,23,148.5,51.5,FALSE,"Order High"
14,12,80,39,30,71,124.5,75.5,FALSE,"Order Medium"
14,13,60,29,0,31,184.5,15.5,FALSE,"Order High"
14,14,67,6,20,81,119.5,80.5,FALSE,"Order Low"
14,15,36,15,0,21,189.5,10.5,FALSE,"Order High"
14,16,72,8,20,84,118,82,FALSE,"Order Medium"
14,17,64,24,10,50,135,65,FALSE,"Order High"
14,18,47,15,0,32,184,16,FALSE,"Order High"
14,19,72,22,30,80,120,80,FALSE,"Order High"
14,20,59,18,20,61,129.5,70.5,FALSE,"Order Low"
14,21,72,7,10,75,122.5,77.5,FALSE,"Order Low"
14,22,26,32,20,14,117,83,FALSE,"Order Medium"
14,23,39,7,30,62,129,71,FALSE,"Order High"
14,24,37,32,0,5,197.5,2.5,FALSE,"Order Low"
14,25,48,33,40,55,132.5,67.5,TRUE,"Order Low"
15,1,36,27,10,19,150.5,49.5,FALSE,"Order Medium"
15,2,52,19,40,73,123.5,76.5,FALSE,"Order Low"
15,3,21,27,40,34,107,93,FALSE,"Order Low"
15,4,68,28,0,40,180,20,FALSE,"Order Medium"
15,5,21,37,20,4,62,138,FALSE,"Order Low"
15,6,32,33,40,39,134.5,65.5,FALSE,"Order High"
15,7,43,10,30,63,128.5,71.5,FALSE,"Order Low"
15,8,68,29,10,49,135.5,64.5,FALSE,"Order Medium"
15,9,22,30,20,12,106,94,FALSE,"Order High"
15,10,37,28,20,29,145.5,54.5,FALSE,"Order Medium"
15,11,21,36,20,5,67.5,132.5,FALSE,"Order Low"
15,12,56,12,40,84,118,82,FALSE,"Order High"
15,13,31,20,20,31,144.5,55.5,FALSE,"Order Medium"
15,14,76,36,40,80,120,80,FALSE,"Order Medium"
15,15,32,5,40,67,126.5,73.5,FALSE,"Order Low"
15,16,61,34,10,37,141.5,58.5,FALSE,"Order Medium"
15,17,80,29,30,81,119.5,80.5,FALSE,"Order High"
15,18,25,7,10,28,146,54,FALSE,"Order Low"
15,19,61,26,40,75,122.5,77.5,FALSE,"Order Medium"
15,20,61,21,30,70,125,75,FALSE,"Order Medium"
15,21,57,24,30,63,128.5,71.5,FALSE,"Order High"
15,22,79,39,20,60,130,70,FALSE,"Order Low"
15,23,67,18,20,69,125.5,74.5,FALSE,"Order High"
15,24,35,28,10,17,151.5,48.5,FALSE,"Order Low"
15,25,54,34,0,20,190,10,TRUE,"Order Low"
16,1,55,12,40,83,118.5,81.5,FALSE,"Order Medium"
16,2,46,24,20,42,139,61,FALSE,"Order High"
16,3,46,14,20,52,134,66,FALSE,"Order High"
16,4,54,26,40,68,126,74,FALSE,"Order Low"
16,5,80,21,40,99,110.5,89.5,FALSE,"Order Medium"
16,6,42,13,0,29,185.5,14.5,FALSE,"Order Medium"
16,7,22,39,0,0,98,102,FALSE,"Order High"
16,8,50,25,40,65,127.5,72.5,FALSE,"Order Medium"
16,9,67,20,30,77,121.5,78.5,FALSE,"Order Medium"
16,10,21,30,10,1,105.5,94.5,FALSE,"Order Low"
16,11,66,39,0,27,186.5,13.5,FALSE,"Order Low"
16,12,42,39,10,13,153.5,46.5,FALSE,"Order Low"
16,13,22,30,10,2,111,89,FALSE,"Order Low"
16,14,28,17,20,31,144.5,55.5,FALSE,"Order Low"
16,15,80,40,40,80,120,80,FALSE,"Order Low"
16,16,58,29,40,69,125.5,74.5,FALSE,"Order High"
16,17,49,32,30,47,136.5,63.5,FALSE,"Order Low"
16,18,50,33,40,57,131.5,68.5,FALSE,"Order High"
16,19,49,17,10,42,139,61,FALSE,"Order Low"
16,20,28,25,0,3,198.5,1.5,FALSE,"Order Low"
16,21,55,29,20,46,137,63,FALSE,"Order Low"
16,22,53,33,0,20,190,10,FALSE,"Order High"
16,23,41,24,10,27,146.5,53.5,FALSE,"Order Medium"
16,24,77,33,10,54,133,67,FALSE,"Order Low"
16,25,63,17,30,76,122,78,TRUE,"Order High"
17,1,60,17,30,73,123.5,76.5,FALSE,"Order High"
17,2,47,39,0,8,196,4,FALSE,"Order Low"
17,3,48,9,30,69,125.5,74.5,FALSE,"Order Low"
17,4,80,17,30,93,113.5,86.5,FALSE,"Order High"
17,5,62,27,0,35,182.5,17.5,FALSE,"Order High"
17,6,58,32,20,46,137,63,FALSE,"Order Medium"
17,7,64,12,10,62,129,71,FALSE,"Order Medium"
17,8,56,28,20,48,136,64,FALSE,"Order Low"
17,9,62,20,20,62,129,71,FALSE,"Order Low"
17,10,52,15,40,77,121.5,78.5,FALSE,"Order High"
17,11,38,27,0,11,194.5,5.5,FALSE,"Order Low"
17,12,31,34,40,37,123.5,76.5,FALSE,"Order Medium"
17,13,53,36,40,57,131.5,68.5,FALSE,"Order Low"
17,14,40,31,10,19,150.5,49.5,FALSE,"Order Low"
17,15,36,19,0,17,191.5,8.5,FALSE,"Order Medium"
17,16,31,5,30,56,132,68,FALSE,"Order High"
17,17,49,14,40,75,122.5,77.5,FALSE,"Order High"
17,18,54,26,10,38,141,59,FALSE,"Order Medium"
17,19,49,40,40,49,135.5,64.5,FALSE,"Order Low"
17,20,44,29,40,55,132.5,67.5,FALSE,"Order Medium"
17,21,69,34,0,35,182.5,17.5,FALSE,"Order Low"
17,22,66,31,10,45,137.5,62.5,FALSE,"Order Medium"
17,23,73,13,40,100,110,90,FALSE,"Order Medium"
17,24,22,23,20,19,144.5,55.5,FALSE,"Order Low"
17,25,70,39,30,61,129.5,70.5,TRUE,"Order Medium"
18,1,76,38,40,78,121,79,FALSE,"Order Low"
18,2,37,27,20,30,145,55,FALSE,"Order High"
18,3,51,16,0,35,182.5,17.5,FALSE,"Order Medium"
18,4,36,19,20,37,141.5,58.5,FALSE,"Order High"
18,5,57,39,10,28,146,54,FALSE,"Order Low"
18,6,61,33,30,58,131,69,FALSE,"Order Low"
18,7,59,11,30,78,121,79,FALSE,"Order High"
18,8,61,33,40,68,126,74,FALSE,"Order Medium"
18,9,51,38,0,13,193.5,6.5,FALSE,"Order Medium"
18,10,45,13,30,62,129,71,FALSE,"Order Medium"
18,11,32,5,30,57,131.5,68.5,FALSE,"Order High"
18,12,39,14,0,25,187.5,12.5,FALSE,"Order Low"
18,13,57,27,30,60,130,70,FALSE,"Order High"
18,14,39,10,20,49,135.5,64.5,FALSE,"Order Low"
18,15,48,36,20,32,144,56,FALSE,"Order Medium"
18,16,39,20,40,59,130.5,69.5,FALSE,"Order Medium"
18,17,49,30,40,59,130.5,69.5,FALSE,"Order Medium"
18,18,60,20,0,40,180,20,FALSE,"Order Medium"
18,19,67,6,30,91,114.5,85.5,FALSE,"Order Low"
18,20,27,38,0,0,134,66,FALSE,"Order Medium"
18,21,58,18,20,60,130,70,FALSE,"Order Medium"
18,22,29,34,30,25,117.5,82.5,FALSE,"Order High"
18,23,36,32,10,14,153,47,FALSE,"Order High"
18,24,37,25,0,12,194,6,FALSE,"Order Medium"
18,25,59,27,10,42,139,61,TRUE,"Order High"
19,1,70,34,40,76,122,78,FALSE,"Order Medium"
19,2,61,29,20,52,134,66,FALSE,"Order High"
19,3,74,10,0,64,168,32,FALSE,"Order Low"
19,4,30,8,30,52,134,66,FALSE,"Order Low"
19,5,68,7,40,101,109.5,90.5,FALSE,"Order High"
19,6,63,14,30,79,120.5,79.5,FALSE,"Order Low"
19,7,21,32,30,19,84.5,115.5,FALSE,"Order Medium"
19,8,38,16,10,32,144,56,FALSE,"Order Medium"
19,9,32,7,0,25,187.5,12.5,FALSE,"Order High"
19,10,32,5,20,47,136.5,63.5,FALSE,"Order High"
19,11,50,37,20,33,143.5,56.5,FALSE,"Order Low"
19,12,49,40,40,49,135.5,64.5,FALSE,"Order High"
19,13,70,17,20,73,123.5,76.5,FALSE,"Order High"
19,14,41,19,40,62,129,71,FALSE,"Order High"
